time,FD FAN A  DISCHARGE PRESSURE_PI_06102_1,FD FAN B  DISCHARGE PRESSURE_PI_06102_2,FD FAN A COMPENSATED AIR FLOW_TOT_AIR_FL,COAL FEEDER SPEED MILL A_FIQC_03305_A_FB,COAL FEEDER SPEED MILL B_FIQC_03305_B_FB,COAL FEEDER SPEED MILL C_FIQC_03305_C_FB,COAL FEEDER SPEED MILL D_FIQC_03305_D_FB,COAL FEEDER SPEED MILL E_FIQC_03305_E_FB,MAIN STEAM PRESSURE_PI_02100_S,SEC AIR WINDBOX LEFT PRESSURE_PI_06102_5,SEC AIR PRESSURE AT WINDBOX RIGHT_PI_06102_6,PRIMARY AIR PRES FROM APH_PI_05102_4,SEC AIR O/L PRS AT APH_PI_06102_4,O2 AT ECONOMIZER INLET_QCR_06704
1552565176949,332.3561,334.62946,317.0599,5.139648,6.388231,5.7866073,5.1481433,0,97.35664,127.322945,89.2444,642.7414,192.05981,3.0226524
1552565236947,336.77292,338.79575,317.9751,5.1438518,6.3697886,5.8050127,5.162819,0,97.07141,129.34235,93.45544,632.0803,189.00752,2.9904194
1552565296944,339.1675,330.62186,322.17392,5.153187,6.382034,5.7965226,5.1457424,0,96.94287,134.65366,93.35388,643.82367,196.82304,3.0821657
1552565356942,332.2585,336.82367,315.33246,5.149838,6.373486,5.784426,5.165043,0,96.677826,131.07341,91.343414,648.3371,188.52942,3.1438453
1552565417454,337.44675,330.3097,315.95267,5.1469283,6.370055,5.8056684,5.156687,0,96.74568,130.95837,99.511894,638.33136,193.63779,2.911622
1552565477452,333.7455,334.11932,314.97723,5.148821,6.370191,5.7805614,5.1378202,0,96.71562,129.21655,97.278145,643.0657,192.51573,3.143115
1552565537449,340.2876,336.33243,313.9598,5.151617,6.3750954,5.774888,5.1557894,0,96.7304,130.89781,97.39839,643.1891,188.44833,3.1892176
1552565597447,337.64185,333.12683,317.6512,5.154003,6.3689637,5.8023825,5.153308,0,96.75808,127.825264,97.319305,639.9877,188.29684,3.1734128
1552565657445,333.0461,335.79794,308.435,5.1470494,6.385471,5.8211246,5.18412,0,96.50306,129.55673,99.52185,634.98035,188.66554,3.321247
1552565717442,336.3671,329.95572,313.33334,5.1604624,6.3842463,5.9307375,5.278236,0,96.22293,128.53642,99.35987,641.6926,188.19621,3.1617844
1552565777955,334.60797,335.39157,310.81058,5.147996,6.3717036,5.960931,5.310361,0,96.19102,130.16742,99.43133,649.48785,189.98296,3.0868466
1552565837952,340.87946,334.78705,316.39807,5.1485696,6.3732495,5.978115,5.3421583,0,96.09111,130.6496,101.46995,654.41345,194.21698,3.0373616
1552565897950,336.12604,334.15628,314.0814,5.1555448,6.3584437,6.0023727,5.3582253,0,96.18582,133.85591,101.61677,642.71655,193.31598,3.0550737
1552565957947,333.97903,335.31445,315.35754,5.1588793,6.3861485,6.004202,5.3547864,0,96.01493,130.17905,103.75687,642.68463,189.26434,3.1379313
1552566017945,341.41415,336.87967,315.3796,5.142047,6.374719,6.06959,5.3983784,0,96.04764,131.41574,104.52074,651.8001,194.80667,2.8786194
1552566077943,336.65186,333.8857,315.47147,5.1629176,6.3624907,6.0387483,5.388335,0,96.2202,130.09735,100.49881,648.1261,190.20384,3.1251872
1552566138455,334.45755,340.22165,311.76212,5.150732,6.3751416,6.008482,5.359833,0,96.322014,130.51329,100.59961,648.09015,193.30061,3.1242561
1552566198453,340.21902,332.61795,313.01025,5.14889,6.370765,6.0007396,5.348202,0,96.414444,130.3519,100.45865,639.90564,188.74176,3.1864555
1552566258450,336.06735,336.35306,313.50177,5.139605,6.368837,6.057425,5.424835,0,96.377495,132.34517,100.34606,636.04767,190.70464,3.3147914
1552566318448,337.57986,335.50034,314.0466,5.157184,6.3760586,6.020703,5.3799562,0,96.48251,130.72958,100.34089,636.0468,190.07779,3.2789226
1552566378445,339.02933,333.06714,312.7918,5.144317,6.372879,6.0344267,5.368386,0,96.69011,123.51865,98.32673,647.76807,185.1623,3.1348562
1552566438443,334.67752,340.6992,309.58142,5.157341,6.370206,5.982206,5.3280635,0,96.855934,128.1313,98.39378,635.9764,195.16498,3.4238977
1552566498955,338.99908,333.0262,312.29745,5.1499124,6.3753915,5.9078135,5.287769,0,97.10275,130.74992,96.960976,638.5719,190.57678,3.3129735
1552566558953,335.14786,332.5067,309.5829,5.154187,6.358836,5.888459,5.2471037,0,97.16102,128.46788,96.93534,636.8392,193.38763,3.4329784
1552566618951,337.4422,341.4628,311.27277,5.143213,6.367125,5.91942,5.291233,0,97.00225,129.89742,96.87015,638.2498,193.98123,3.5403283
